# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
36645,124.299,-36537004607068,-22125,32796,30964.7,32173.6,10.2,0.023,-492216,LOCKED
36646,125.299,-36537004588442,-32744,22177,30934.8,32409.7,10.1,0.008,-502616,LOCKED
36647,126.300,-36537004580147,-52116,2805,30860.9,33145.7,9.8,0.012,-520312,LOCKED
36648,127.304,-36537004462721,32904,87825,30882.1,33325.4,9.4,0.009,-435250,LOCKED
36649,128.300,-36537004458459,4773,59694,30948.4,33027.7,9.6,-0.001,-458826,LOCKED
36650,129.300,-36537004405978,26446,81367,30897.4,32355.7,9.2,-0.003,-437103,LOCKED
36651,130.300,-36537004403144,-2015,52906,30920.3,32292.2,8.8,-0.003,-466334,LOCKED
36652,131.301,-36537004399925,-26937,27984,30828.5,32315.0,8.7,-0.004,-489829,LOCKED
36653,132.301,-36537004305239,36358,91279,30795.6,31821.3,8.8,0.001,-528760,LOCKED
36654,133.301,-36537004290197,17823,72744,30902.7,31368.7,8.8,0.006,-440697,LOCKED
36655,134.301,-36537004286131,-9347,45574,30934.6,31170.2,8.7,0.006,-462437,LOCKED
36656,135.301,-36537004284272,-36520,18401,30901.9,31468.8,8.9,0.000,-492449,LOCKED
36657,136.301,-36537004163058,50135,105056,30998.2,32190.3,8.8,0.001,-400260,LOCKED
36658,137.302,-36537004162784,17983,72904,31038.5,32275.8,8.7,0.002,-430306,LOCKED
36659,138.301,-36537004160934,-9962,44959,30993.9,32235.9,8.7,0.002,-456601,LOCKED
36660,139.301,-36537004120433,-625,54296,31003.3,32225.7,8.7,0.007,-444230,LOCKED
36661,140.301,-36537004107611,-16959,37962,30940.7,32207.4,8.6,0.013,-463408,LOCKED
36662,141.301,-36537004107789,-43499,11422,30788.1,32206.0,8.6,0.012,-490458,LOCKED
36663,142.300,-36537003991514,41200,96121,30758.1,31715.7,8.5,0.014,-402924,LOCKED
36664,143.301,-36537003989428,10298,65219,30850.6,31218.9,8.5,0.020,-428936,LOCKED
36665,144.302,-36537003986994,-18252,36669,30887.6,30858.0,8.5,0.019,-455689,LOCKED
36666,145.302,-36537003983363,-43288,11633,30850.6,31268.2,8.4,0.023,-485048,LOCKED
36667,146.301,-36537003858253,47330,102251,30950.8,31894.2,8.4,0.029,-389736,LOCKED
36668,147.303,-36537003865811,8779,63700,30938.2,31843.1,8.3,0.035,-423150,LOCKED
36669,148.302,-36537003847565,-2200,52721,30857.6,31285.3,8.3,0.035,-432823,LOCKED
36670,149.302,-36537003803928,11060,65981,30815.6,30957.4,8.3,0.041,-421154,LOCKED
36671,150.302,-36537003800474,-16426,38495,30849.0,30660.7,8.2,0.048,-447941,LOCKED
36672,151.302,-36537003797208,-42646,12275,30853.1,30599.2,8.2,0.048,-471495,LOCKED
36673,152.302,-36537003676365,43480,98401,30970.7,30998.9,8.4,0.049,-380393,LOCKED
36674,153.302,-36537003663879,23474,78395,31006.3,31159.5,8.5,0.050,-397819,LOCKED
