# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
60569,233.665,-54410743538405,9228,74523,-31928.1,32091.7,11.8,-0.040,15604,LOCKED
60570,234.666,-54410743579545,-1034,64261,-31874.7,31806.0,11.8,-0.038,-85345,LOCKED
60571,235.665,-54410743559517,45929,111224,-31708.4,31722.4,11.6,-0.032,-61651,LOCKED
60572,236.665,-54410743589784,45466,110761,-31690.5,31960.4,11.5,-0.030,-44723,LOCKED
60573,237.665,-54410743700026,-30420,34875,-31770.9,32158.2,11.3,-0.023,-20428,LOCKED
60574,238.665,-54410743726804,-23774,41521,-31812.6,32319.8,11.3,-0.026,-19038,LOCKED
60575,239.666,-54410743773609,-36293,29002,-31873.7,32692.8,11.1,-0.017,-9391,LOCKED
60576,240.665,-54410743752473,15906,81201,-31860.3,32744.9,11.1,-0.012,21798,LOCKED
60577,241.666,-54410743781594,17604,82899,-31838.5,32824.6,11.0,-0.009,27502,LOCKED
60578,242.665,-54410743798914,30116,95411,-31790.0,33076.7,10.7,0.003,36100,LOCKED
60579,243.665,-54410743828895,29960,95255,-31743.3,33322.9,10.8,0.008,37573,LOCKED
60580,244.665,-54410743923410,-32561,32734,-31701.3,32727.9,11.0,0.022,-30410,LOCKED
60581,245.665,-54410743962981,-39531,25764,-31679.7,32408.5,11.2,0.022,-25390,LOCKED
60582,246.666,-54410743971444,-17026,48269,-31616.3,31678.7,11.3,0.023,-14300,LOCKED
60583,247.666,-54410743982222,2455,67750,-31553.7,31356.2,11.3,0.014,7312,LOCKED
60584,248.666,-54410743990352,22793,88088,-31439.9,30985.7,12.2,0.029,31673,LOCKED
60585,249.666,-54410744108123,-58617,6678,-31584.2,31829.6,12.6,0.023,-54880,LOCKED
60586,250.666,-54410744113094,-29078,36217,-31679.6,31888.3,13.0,0.029,-33713,LOCKED
60587,251.666,-54410744110048,5680,70975,-31690.7,31856.2,13.2,0.050,7030,LOCKED
60588,252.666,-54410744126802,18632,83927,-31624.1,31848.7,14.1,-0.008,23905,LOCKED
60589,253.666,-54410744134787,38135,103430,-31484.3,31768.3,14.2,-0.052,46078,LOCKED
60590,254.665,-54410744268271,-59244,6051,-31612.8,32715.7,14.4,-0.066,-57340,LOCKED
60591,255.666,-54410744291096,-45702,19593,-31770.4,32753.7,14.5,-0.090,-57196,LOCKED
60592,256.667,-54410744306650,-27902,37393,-31801.8,32944.2,14.5,-0.099,-31949,LOCKED
60593,257.666,-54410744320782,-10564,54731,-31767.8,32723.8,14.9,-0.136,-13183,LOCKED
60594,258.666,-54410744338177,2073,67368,-31685.9,32158.7,14.8,-0.127,2079,LOCKED
60595,259.667,-54410744370460,-260,65035,-31600.1,31457.8,14.8,-0.120,2388,LOCKED
60596,260.667,-54410744378871,21812,87107,-31581.6,31560.2,14.8,-0.124,27081,LOCKED
60597,261.666,-54410744411647,18990,84285,-31533.2,31643.9,14.3,-0.144,20524,LOCKED
60598,262.666,-54410744437425,22574,87869,-31464.0,31709.3,14.1,-0.147,20416,LOCKED
60599,263.667,-54410744459780,28651,93946,-31362.7,31701.2,13.6,-0.161,30146,LOCKED
60600,264.666,-54410744497478,22156,87451,-31391.7,31406.3,12.9,-0.172,-85413,LOCKED
60601,265.667,-54410744618319,-61703,3592,-31563.8,32126.0,12.7,-0.180,-61769,LOCKED
60602,266.667,-54410744643141,-50228,15067,-31712.9,32500.7,11.9,-0.188,-54640,LOCKED
60603,267.666,-54410744664063,-35611,29684,-31841.6,32454.4,11.8,-0.201,-40564,LOCKED
60604,268.668,-54410744687419,-24167,41128,-31946.9,32254.6,11.7,-0.204,-31272,LOCKED
60605,269.667,-54410744712599,-15241,50054,-32027.7,32048.6,11.6,-0.214,-21141,LOCKED
60606,270.667,-54410744714807,14106,79401,-32027.9,32047.4,11.7,-0.222,13690,LOCKED
60607,271.667,-54410744724310,36083,101378,-32061.1,31546.7,11.6,-0.218,33617,LOCKED
60608,272.668,-54410744739842,51282,116577,-32081.2,31163.2,11.6,-0.219,48838,LOCKED
60609,273.668,-54410744770406,51150,116445,-32085.4,31089.5,11.2,-0.219,52875,LOCKED
60610,274.667,-54410744860798,-6531,58764,-32105.3,31095.2,11.2,-0.215,-14359,LOCKED
60611,275.667,-54410744880184,5429,68257,-32077.0,31069.9,11.3,-0.212,-6365,LOCKED
60612,276.667,-54410744887318,28003,90831,-32007.2,31260.7,11.2,-0.213,20394,LOCKED
60613,277.668,-54410744915435,29032,91860,-31914.8,31344.4,11.2,-0.210,-82407,LOCKED
60614,278.667,-54410745033626,-54751,8077,-31946.2,31822.4,11.2,-0.206,-57434,LOCKED
60615,279.668,-54410745051204,-39012,23816,-31948.6,31852.8,11.5,-0.201,-44403,LOCKED
60616,280.668,-54410745053543,-10339,52489,-31885.3,31254.1,11.4,-0.197,-11209,LOCKED
60617,281.667,-54410745069736,4015,66843,-31826.2,30997.6,11.4,-0.197,8084,LOCKED
60618,282.667,-54410745114002,-6613,56215,-31904.2,30580.3,11.6,-0.193,12700,LOCKED
60619,283.667,-54410745174953,-32107,30721,-32025.4,30477.4,11.6,-0.190,31586,LOCKED
60620,284.667,-54410745191888,-15093,47735,-32094.9,30364.5,11.6,-0.189,-24660,LOCKED
60621,285.668,-54410745229524,-18920,43908,-32147.6,30435.2,11.6,-0.185,-8609,LOCKED
60622,286.669,-54410745211783,29270,92098,-32112.9,30666.8,11.3,-0.179,19638,LOCKED
60623,287.667,-54410745235912,34936,97764,-32057.1,31028.7,11.0,-0.172,36318,LOCKED
60624,288.668,-54410745353474,-46894,15934,-32159.7,31636.1,11.1,-0.166,-50965,LOCKED
60625,289.668,-54410745353127,-13749,49079,-32168.1,31667.9,10.8,-0.156,-32607,LOCKED
60626,290.668,-54410745370263,871,63699,-32149.4,31639.9,10.7,-0.152,-8550,LOCKED
60627,291.669,-54410745374248,27102,89930,-32099.5,31852.7,10.7,-0.147,22714,LOCKED
60628,292.670,-54410745393231,37208,100036,-32013.4,32210.7,10.7,-0.148,35678,LOCKED
60629,293.669,-54410745428164,31951,94779,-31951.7,32498.6,10.7,-0.143,-76927,LOCKED
60630,294.668,-54410745508683,-15384,47444,-31986.7,32559.8,10.7,-0.144,-15855,LOCKED
60631,295.668,-54410745535445,-11051,51777,-31924.4,31975.0,10.6,-0.137,-11222,LOCKED
60632,296.668,-54410745552886,1507,64335,-31832.2,31214.6,10.6,-0.129,5168,LOCKED
60633,297.668,-54410745580811,5854,68682,-31863.6,31057.9,10.5,-0.121,5297,LOCKED
60634,298.668,-54410745607938,10571,73399,-31880.3,30971.1,10.4,-0.111,12854,LOCKED
60635,299.669,-54410745639179,11683,74511,-31923.0,30623.2,10.2,-0.088,12887,LOCKED
