# elapsed_s,phase_ns
1252.4,5600
1253.8,4775
1255.2,5600
1256.5,5600
1257.9,5600
1259.2,10413
1260.6,12800
1262.0,14395
1263.3,12010
1264.7,10425
1266.1,12005
1267.5,14397
1268.8,15206
1270.2,16000
1271.6,14400
1272.9,14395
1274.3,12800
1275.7,14405
1277.1,17590
1278.4,16805
1279.8,15048
1281.2,13605
1282.6,11200
1283.9,10257
1285.2,11970
1286.5,8795
1287.9,8809
1289.2,8800
1290.6,8815
1292.0,9600
1293.4,6380
1294.7,6400
1296.1,8015
1297.4,8800
1298.8,7839
1300.2,9605
1301.6,7200
1302.9,7205
1304.3,7200
1305.7,6390
1307.0,5600
1308.5,6380
1309.8,7195
1311.2,9605
1312.5,10400
1313.9,8000
1315.2,8005
1316.5,4795
1317.9,4005
1319.2,4000
1320.6,4005
1322.0,6400
1323.4,3995
1324.7,4005
1326.1,4005
1327.5,6410
1328.8,7975
1330.2,4805
1331.6,6380
1332.8,5462
1334.2,7200
1335.5,7995
1336.8,7995
1338.2,8795
1339.6,10248
1340.8,9600
1342.2,8005
1343.5,9595
1344.8,9605
1346.2,12795
1347.5,15205
1348.9,14217
1350.3,12000
1351.7,12667
1353.0,13600
1354.4,13595
1355.7,12785
1357.1,13605
1358.5,12795
1359.8,15195
1361.1,18364
1362.5,16795
1363.8,14405
1365.1,16000
1366.6,14385
1367.8,13600
1369.2,12000
1370.6,12795
1371.9,13605
1373.2,10405
1374.6,10405
1375.9,12795
1377.3,15200
1378.6,13569
1379.9,11956
1381.3,8800
1382.7,7205
1384.0,6405
1385.4,7205
1386.7,4800
1388.1,4810
1389.5,2395
1390.9,1600
1392.2,-0
1393.6,-3995
1395.0,5
1396.4,-3200
1397.7,-3200
1399.1,-7946
1400.5,-4800
1401.8,-5595
1403.2,-4800
1404.6,-5595
1405.9,-1595
1407.3,-800
1408.6,795
1410.0,-5
1411.3,1600
1412.7,800
1414.1,-800
1415.5,-800
1416.8,5
1418.2,2414
1419.5,1600
1420.9,1595
1422.2,4795
1423.5,805
1424.9,7165
1426.3,7195
1427.6,7200
1429.0,8785
1430.4,8010
1431.8,7196
1433.1,7980
1434.5,6410
1435.8,9620
1437.2,11195
1438.5,10405
1439.9,7990
1441.3,6406
1442.6,6405
1444.0,7200
1445.4,11990
1446.8,9595
1448.1,10400
1449.5,8010
1450.8,6527
1452.2,7200
1453.6,4000
1454.8,6400
1456.2,4775
1457.5,3160
1458.8,2399
1460.2,3200
1461.6,1595
1463.0,2336
1464.4,-779
1465.7,-795
1467.1,801
1468.5,1605
1469.8,2400
1471.2,3200
1472.6,3019
1473.9,805
1475.2,1615
1476.6,790
1478.0,751
1479.3,1657
1480.7,2463
1482.0,4785
1483.4,4790
1484.8,3190
1486.2,4582
1487.5,7205
1488.9,10390
1490.3,8005
1491.6,8068
1493.0,9516
1494.4,6525
1495.7,9645
1497.0,10395
1498.4,9661
1499.7,12000
1501.2,11219
1502.5,12010
1503.8,10395
1505.2,12016
1506.5,15005
1507.8,16805
1509.2,12795
1510.6,12795
1511.9,12014
1513.3,11969
1514.6,13590
1516.0,14390
1517.3,12810
1518.7,14425
1520.1,15205
1521.4,17610
1522.7,15969
1524.1,15121
1525.4,12800
1526.7,12005
1528.2,12840
1529.5,13595
1530.8,12800
1532.2,16805
1533.5,13600
1534.9,12005
1536.2,15204
1537.6,15200
1539.0,15190
1540.3,13631
1541.7,14400
1543.0,14395
1544.4,11976
1545.7,14390
1547.0,14478
1548.4,11200
1549.7,11341
1551.0,10400
1552.4,9600
1553.7,9605
1555.0,15205
1556.4,16800
1557.7,19999
1559.1,19185
1560.4,20904
1561.8,23815
1563.1,19006
1564.5,17620
1565.8,21595
1567.1,23096
1568.6,22431
1569.9,21600
1571.2,22400
1572.6,21595
1574.0,20010
1575.4,24810
1576.8,26401
1578.2,24005
1579.6,25610
1580.9,26405
1582.2,27995
1583.6,28800
1585.0,27190
1586.4,29298
1587.8,29595
1589.1,27200
1590.4,26410
1591.8,28000
1593.2,23200
1594.5,22395
1595.9,24000
1597.3,26400
1598.7,27190
1600.1,26400
1601.4,24800
1602.7,21605
1604.1,19093
1605.5,21444
1606.8,22405
1608.2,21600
1609.6,23210
1610.9,22410
1612.2,18418
1613.6,19200
1614.8,19205
1616.2,20005
1617.5,20800
1618.9,19210
1620.2,21600
1621.6,20790
1622.9,22400
1624.3,18396
1625.6,19190
1627.0,22395
1628.3,20000
1629.7,19191
1631.1,20805
1632.5,17600
1633.8,15200
1635.2,16805
1636.6,16005
1638.0,19195
1639.3,16800
1640.7,16726
1642.0,16810
1643.4,15200
1644.7,16800
1646.1,18405
1647.5,15200
1648.8,16014
1650.2,17411
1651.6,18400
1653.0,17595
1654.4,13651
1655.8,15990
1657.2,13605
1658.5,16800
1659.9,13600
1661.2,13610
1662.6,14409
1664.0,13600
1665.3,15200
1666.7,13615
1668.0,17532
1669.3,17610
1670.7,16029
1672.0,15210
1673.3,13569
1674.7,11205
1676.1,11907
1677.4,9615
1678.8,10405
1680.1,11783
1681.5,7911
1682.8,9605
1684.2,9590
1685.6,11157
1687.0,11190
1688.4,12800
1689.8,13605
1691.1,14390
1692.5,12800
1693.8,11955
1695.2,14400
1696.5,12010
1697.8,11139
1699.2,8795
1700.6,8000
1701.8,8810
1703.2,9590
1704.6,8066
1705.9,12810
1707.3,13600
1708.6,15195
1710.0,13595
1711.3,12800
1712.6,11225
1714.0,11205
1715.3,12009
1716.7,11995
1718.1,11995
1719.4,11180
1720.8,12000
1722.1,14967
1723.5,12015
1724.9,11990
1726.2,12834
1727.5,15195
1728.8,15132
1730.2,16790
1731.5,19995
1732.8,18397
1734.2,16790
1735.5,16005
1736.8,15990
1738.2,17600
1739.5,14395
1740.9,14415
1742.2,13442
1743.5,11200
1744.9,12795
1746.2,12770
1747.5,9740
1748.9,11995
1750.2,14428
1751.6,13598
1752.9,13610
1754.2,10406
1755.6,12005
1756.9,15200
1758.2,16795
1759.5,14243
1760.9,13438
1762.3,11995
1763.7,8781
1765.1,7195
1766.4,11195
1767.8,12005
1769.1,9585
1770.5,7898
1771.9,7995
1773.2,8000
1774.6,7995
1776.0,7200
1777.4,7985
1778.7,6400
1780.1,8000
1781.4,5575
1782.7,7185
1784.1,6390
1785.5,7995
1786.8,7985
1788.2,8005
1789.5,9595
1790.8,12795
1792.2,12000
1793.6,11200
1795.0,12800
1796.3,16014
1797.6,17600
1799.0,16805
1800.3,15108
1801.7,16005
1803.0,16824
1804.4,16795
1805.7,18395
1807.1,19165
1808.4,20005
1809.7,17605
1811.1,15985
1812.4,16795
1813.8,14395
1815.2,12005
1816.5,12795
1817.8,11995
1819.2,9600
1820.6,7205
1821.9,7205
1823.2,3215
1824.6,3200
1826.0,3210
1827.3,-5
1828.8,13
1830.2,-891
1831.5,-4790
1832.9,-5590
1834.3,-8000
1835.6,-8000
1837.0,-10370
1838.3,-12000
1839.7,-12825
1841.0,-15190
1842.4,-17600
1843.8,-18400
1845.2,-23190
1846.5,-23195
1847.9,-23205
1849.3,-26410
1850.6,-25595
1852.0,-26400
1853.4,-29615
1854.7,-31200
1856.1,-36795
1857.5,-35190
1858.8,-35981
1860.1,-39205
1861.5,-40800
1862.8,-40800
1864.2,-44800
1865.6,-45600
1866.9,-47190
1868.2,-8200795
1869.5,-8202390
1870.8,-8200390
1872.2,-8205590
1873.6,-8197590
1874.9,-8164795
1876.2,-8197590
1877.6,-8201761
1879.0,-8204790
1880.3,-8203395
1881.7,-8201200
1883.0,-8197595
1884.3,-8203200
1885.7,-8198800
1887.1,-8198395
1888.4,-8206395
1889.7,-8205595
1891.1,-8197995
1892.5,-8206395
1893.8,-8191995
1895.2,-8199990
1896.6,-8201195
1898.0,-8194395
1899.3,-8185615
1900.7,-8202410
1902.1,-8202395
1903.4,-8204795
1904.7,-8201595
1906.1,-8205990
1907.5,-8203590
1908.8,-8203200
1910.2,-8201386
1911.5,-8204795
1912.8,-8202395
1914.1,-8203195
1915.6,-8203995
1916.8,-8200800
1918.2,-8200790
1919.5,-8204026
1920.9,-8203990
1922.3,-8184390
1923.6,-8205995
1925.0,-8203995
1926.3,-8199995
1927.7,-8193595
1929.0,-8203995
1930.4,-8194786
1931.8,-8200795
1933.2,-8207190
1934.5,-8206153
1935.9,-8203190
1937.3,-8199990
1938.7,-8205595
1940.1,-8203995
1941.4,-8199985
1942.8,-8207195
1944.1,-8204795
1945.5,-8204790
1947.0,-8203200
1948.3,-8205595
1949.7,-8203195
1951.0,-8201995
1952.3,-8204795
1953.7,-8201621
1955.1,-8201790
1956.5,-8202390
1957.8,-8203195
1959.2,-8201590
1960.5,-8203190
1961.9,29600
1963.2,128800
1964.6,173595
1966.0,209590
1967.4,264805
1968.7,290405
1970.1,330395
1971.5,342306
1972.8,350395
1974.2,358350
1975.5,366296
1976.8,368800
1978.2,390400
1979.5,395195
1980.8,394400
1982.2,388790
1983.5,396805
1984.8,399995
1986.2,408800
1987.5,408790
1988.9,404043
1990.3,405649
1991.7,404800
1993.0,397600
1994.3,388810
1995.7,388805
1997.0,387215
1998.3,377600
1999.7,368810
2001.1,364805
2002.4,353595
2003.8,343215
2005.2,325595
2006.6,317896
2007.9,307200
2009.3,284015
2010.7,278385
2012.1,268005
2013.4,248800
2014.7,235200
2016.1,223995
2017.4,210400
2018.8,201595
2020.1,194395
2021.5,173605
2022.8,167995
2024.2,154395
2025.5,149595
2026.9,143990
2028.2,130400
2029.6,126400
2030.9,125471
2032.4,119039
2033.8,115200
2035.1,112800
2036.4,103205
2037.8,97600
2039.1,92795
2040.5,91200
2041.8,89605
2043.2,81590
2044.5,81590
2045.8,79043
2047.2,78395
2048.6,76005
2049.9,74405
2051.3,69605
2052.7,67808
2054.0,63995
2055.4,60005
2056.7,56010
2058.0,54822
2059.4,52800
2060.7,53595
2062.1,50395
2063.5,49590
2064.8,49642
2066.2,48795
2067.5,50395
2068.9,51200
2070.2,48001
2071.6,48810
2073.0,47210
2074.4,48000
2075.7,47995
2077.1,48005
2078.5,48000
2079.8,48000
2081.1,45600
2082.5,43980
2083.9,39200
2085.2,40000
2086.5,37605
2087.9,35995
2089.3,38390
2090.6,36795
2091.9,37595
2093.3,34395
2094.7,34400
2096.1,34405
2097.5,36031
2099.0,35857
2100.3,33605
2101.6,33604
2103.0,31914
2104.3,29616
2105.7,29615
2107.1,27768
2108.5,26530
2109.8,25865
2111.1,25710
2112.6,27360
2113.9,25614
2115.2,27200
2116.6,28010
2118.0,28005
2119.4,27195
2120.7,26390
2122.1,25600
2123.5,21634
2124.8,20000
2126.1,22400
2127.6,21595
2128.9,22395
2130.2,23511
2131.5,22400
2132.9,24000
2134.2,22400
2135.6,22395
2136.9,23058
2138.3,27214
2139.6,27201
2141.0,25595
2142.3,23971
2143.7,20000
2145.1,21423
2146.4,27186
2147.8,28785
2149.2,26395
2150.6,24213
2152.0,25634
2153.3,25595
2154.7,27210
2156.0,30395
2157.4,27995
2158.7,29600
2160.1,27205
2161.4,30400
2162.8,31169
2164.1,31995
2165.5,28796
2166.8,30400
2168.2,32015
2169.6,30410
2170.9,30263
2172.3,32800
2173.6,29548
2175.0,29594
2176.3,30450
2177.7,29605
2179.1,27205
2180.5,24795
2181.8,23218
2183.1,24038
2184.5,17595
2185.8,20015
2187.2,16044
2188.6,18400
2189.9,19157
2191.3,19205
2192.6,17605
2194.0,16718
2195.3,16795
2196.7,19158
2198.0,16800
2199.4,13605
2200.8,14473
2202.2,14400
2203.5,9605
2204.9,7990
2206.3,8780
2207.6,7980
2209.0,9605
2210.3,7171
2211.7,7995
2213.1,8005
2214.4,7209
2215.8,8795
2217.1,10500
2218.5,9604
2219.9,10365
2221.2,10409
2222.7,12015
2224.0,13615
2225.4,13610
2226.8,14374
2228.2,16800
2229.5,16920
2230.9,18395
2232.2,17609
2233.5,16000
2234.9,16795
2236.2,21595
2237.6,20780
2239.0,19190
2240.3,18400
2241.7,21595
2243.1,21600
2244.5,19995
2245.8,20805
2247.1,20795
2248.6,23195
2249.9,21600
2251.3,20000
2252.7,19210
2254.1,17439
2255.4,19980
2256.8,19985
2258.2,20801
2259.5,15200
2260.9,16941
2262.2,18385
2263.6,17598
2265.0,16069
2266.3,16001
2267.6,14405
2269.0,16005
2270.4,15765
2271.8,14405
2273.1,13610
2274.5,12795
2275.8,12790
2277.2,13600
2278.5,13600
2279.8,15199
2281.2,12000
2282.6,12815
2284.0,11205
2285.3,13600
2286.6,14358
2288.0,12010
2289.4,11190
2290.8,10400
2292.2,13429
2293.5,14405
2294.9,13600
2296.3,14400
2297.6,15097
2298.9,15995
2300.3,11752
2301.6,12800
2303.0,11195
2304.4,8795
2305.8,8000
2307.1,5600
2308.5,4795
2309.9,4800
2311.2,3159
2312.6,1689
2314.0,-0
2315.4,5
2316.8,-1605
2318.1,1610
2319.5,800
2320.8,1439
2322.2,5600
2323.6,2370
2324.9,2405
2326.3,2460
2327.6,3205
2329.0,4000
2330.3,5595
2331.6,4800
2333.0,4800
2334.3,2390
2335.7,4000
2337.1,3195
2338.5,1596
2339.8,3200
2341.1,5595
2342.5,5554
2343.8,3195
2345.2,2395
2346.6,4020
2348.0,6395
2349.3,6395
2350.7,6224
2352.1,4800
2353.5,8000
2354.9,6400
2356.3,9610
2357.7,11200
2359.1,12005
2360.4,12000
2361.8,11200
2363.2,14227
2364.5,13610
2365.8,16810
2367.2,18410
2368.6,18390
2370.0,16795
2371.4,14395
2372.7,14400
2374.0,13595
2375.4,13605
2376.7,11200
2378.0,11995
2379.4,11195
2380.8,11200
2382.2,12790
2383.5,10405
2384.8,9600
2386.2,11995
2387.6,12552
2388.9,12800
2390.2,12739
2391.5,12805
2392.9,11995
2394.3,14395
2395.7,13590
2397.1,12795
2398.5,11800
2399.8,11195
2401.1,9600
2402.5,8005
2403.9,5605
2405.3,5605
2406.7,6395
2408.1,3205
2409.4,8800
2410.8,6400
2412.2,4800
2413.5,3195
2414.8,5
2416.2,3985
2417.6,1605
2418.9,3249
2420.3,1595
2421.6,2405
2423.0,3200
2424.4,5517
2425.7,3342
2427.1,5610
2428.5,3205
2429.9,2410
2431.3,7200
2432.6,7205
2433.9,5610
2435.3,7990
2436.6,6620
2438.0,7205
2439.4,10400
2440.8,11195
2442.2,12800
2443.5,11205
2444.9,9605
2446.3,14405
2447.7,15205
2449.1,13605
2450.5,12795
2451.8,13595
2453.2,13605
2454.6,15200
2455.9,16780
2457.2,18395
2458.6,18540
2459.9,20790
2461.3,19990
2462.7,19219
